sr17001,,,,,,17012,,,,,,17014,,,17016,
z,O3,,,,,z,O3,N2,,,P (pressure),z,,,z,O3
149.8,-999,,,,,141.3,-999,-999,,,4.79E-09,139,,,,-999
,,,,,,143.8,-999,-999,,,4.23E-09,141.4,,,,-999
,,,,,,146.3,-999,-999,,,3.76E-09,143.8,,,,-999
,,,,,,148.7,-999,-999,,,3.35E-09,146.3,,,,-999
,,,,,,,,,,,,148.7,,,,-999
,,,,,,,,,,,,,,,,-999
,,,,,,,,,,,,,,,,-999
,,,,,,,,,,,,,,,,-999
,,,,,,,,,,,,,,,,-999
,,,,,,,,,,,,,,,,-999
,,,,,,,,,,,,,,,,-999
